id|name|descr|price|lang
1|САЛАТИ|грам/гривня||ua
1|INSALATE|g./uah||it
1|SALADS|g./uah||en
1|САЛАТЫ|гр. / грн.||ru
2|Ді маре|Кальмари, креветки, мідії, з морквою та солодким перцем. Під заправкою з олії, білого вина. З часником.  За Вашим бажанням подається гарячим чи холодним|250 / 89,00|ua
2|Di mare|Calamari, gamberetti, cozze, carote e peperoni alla Julienne. Servita calda o fredda a vostro piacere.|250 / 89,00|it
2|Di mare|Squids, shrimps, mussels, carrots and sweet peppers. Served hot or cold on our wish.|250 / 89,00|en
2|Ди маре|Кальмары, креветки, мидии, морковь и сладкий перец. Подается горячим или холодным по Вашему желанию.|250 / 89,00|ru
3|Грецький|Огірок, солодкий перець, помідор, сир Фета, маслини, орегано, олія|250 / 54,00|ua
3|Greca|Cetrioli, pepperoni dolci, olive e feta condita con olio e origano.|250 / 54,00|it
3|Greece|Cucumbers, sweet peppers, tomatoes, Feta cheese, black olives.|250 / 54,00|en
3|Греческий|Огурцы, сладкий перец, помидоры, сыр Фета, маслины.|250 / 54,00|ru
4|Компаньйола|Огірок, помідор, болгарський перець, за Вашим бажанням з цибулею чи без, з олією або майонезом.|280 / 42,00|ua
4|Compagniola|Cetrioli, pomodori, pepperoni dolci e cipola, condita con olio e origano.|280 / 42,00|it
4|Compagniola|Cucumbers, tomatoes and sweet peppers, onion. Served with oil or mayonnaise.|280 / 42,00|en
4|Компаньйола|Огурцы, помидоры и сладкий перец, с луком или без. Подается с маслом или майонезом по Вашему желанию.|280 / 42,00|ru
5|Цезар|Філе курки та королівська шинка. З сирами: Рокфор, Пармезан. Листя Айсбергу, помідори, часникові грінки та соус з майонезу, сиру та анчоусів|250 / 65,00|ua
5|Cesare|Pollò e prosciutto cotto saltati in padella insalata e pomodori Condita con una salsa dose di maionese, Rokfort, (Parmigiano e acciughe e accompagnata da crostine di pane.|250 / 65,00|it
5|Cezar|Pan fried sliced chicken and ham with salad leaves and tomatoes served with small pieces of toasted bread with oil and garlic, and a rokfort, parmesan, anchiovies and mayonnaise dressing,|250 / 65,00|en
5|Цезарь|Жареные ломтики курицы и ветчины с листьями салата и помидорами, подается с гренками и чесноком, под соусом из анчоусов, майонеза, сыров рокфор и пармезан.|250 / 65,00|ru
6|Тутто|Салат з помідорів, огірків, солодкого перцю, салатних листків, сиру моцарелла та шинкою. За Вашим бажанням подається або з олією, або з майонезом|250 / 61,00|ua
6|Tutto|Pomodori, cetrioli peperoni lattuga, Mozzarella e prosciutto cotto. Condita, a vostra scelta, con olio o con maionese.|250 / 61,00|it
6|Tutto|Tomatoes, cucumbers, sweet peppers, salad leaves, mozzarella cheese, ham. Served with oil or mayonnaise.|250 / 61,00|en
6|Тутто|Помидоры, огурцы, сладкий перец, листья салата, сыр моцарелла, ветчина. Подается с маслом или майонезом по Вашему желанию.|250 / 61,00|ru
7|Гамберетті|Лола-росса та Руккола з коктейльними креветками та свіжими помідорами.|250 / 75,00|ua
7|Gamberetti|Aisberg con lola-rosso, ruccola e gamberetti.|250 / 75,00|it
7|Gamberetti|Salad leaves  with dijohn mustard, orange juice, shrimps, tomatoes.|250 / 75,00|en
7|Гамберетти|Листья салата с дижонской горчицей, апельсиновым соком, креветки, помидоры.|250 / 75,00|ru
8|М`ясний|Підсмажені шматочки курячого філе з зеленим горошком, картоплею, свіжими та маринованоми огірками, перепелиними яйцями під майонезним соусом.|250 / 55,00|ua
8|Di carne|Filetto di pollo ai ferri, piselli patate, cetrioli uova di quaglia. Condita con maionese.|250 / 55,00|it
